"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Создание из класса JSON строки","","Thu Nov 28 05:48:42 GMT 2024","passed","Thu Nov 28 05:48:42 GMT 2024","","files.WorkJacksonTests","files.WorkJacksonTests","createJasonAsString"
"","8073","Товар для взрослых найден через строку поиска Товар для взрослых BEER найден через строку поиска","","Thu Nov 28 05:47:01 GMT 2024","passed","Thu Nov 28 05:47:10 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmpty"
"","2","NegativeTest2()","","Thu Nov 28 05:49:13 GMT 2024","passed","Thu Nov 28 05:49:13 GMT 2024","","simple.PositiveTests","simple.PositiveTests","NegativeTest2"
"","0","NegativeTest1()","","Thu Nov 28 05:49:13 GMT 2024","skipped","Thu Nov 28 05:49:13 GMT 2024","","simple.SkippedTests","simple.SkippedTests","NegativeTest1"
"","7995","Товар найден через строку поиска и тег существует Товар кефир найден через строку поиска и тег Кисломолочные продукты существует","","Thu Nov 28 05:47:57 GMT 2024","passed","Thu Nov 28 05:48:05 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExist"
"","12237","Товар для взрослых найден через строку поиска и тег существует Товар для взрослых VODKA найден через строку поиска и теги [Конфеты, Конфеты и подарочные наборы, Водка, настойки, Водка] существует","","Thu Nov 28 05:47:36 GMT 2024","failed","Thu Nov 28 05:47:48 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmptyTagsExist"
"","5","NegativeTest3()","","Thu Nov 28 05:49:13 GMT 2024","failed","Thu Nov 28 05:49:13 GMT 2024","","simple.NegativeTests","simple.NegativeTests","NegativeTest3"
"","8708","Товар найден через строку поиска и тег существует Товар молоко найден через строку поиска и тег Молоко и сливки существует","","Thu Nov 28 05:47:48 GMT 2024","passed","Thu Nov 28 05:47:57 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExist"
"","7280","Товар для взрослых найден через строку поиска Товар для взрослых VODKA найден через строку поиска","","Thu Nov 28 05:46:54 GMT 2024","passed","Thu Nov 28 05:47:01 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmpty"
"","393","dragDropWithActionsTest()","","Thu Nov 28 05:49:02 GMT 2024","passed","Thu Nov 28 05:49:02 GMT 2024","","herokuapp.DragAndDropTests","herokuapp.DragAndDropTests","dragDropWithActionsTest"
"","6","NegativeTest2()","","Thu Nov 28 05:49:13 GMT 2024","failed","Thu Nov 28 05:49:13 GMT 2024","","simple.NegativeTests","simple.NegativeTests","NegativeTest2"
"","8199","Товар найден через строку поиска и тег существует Товар кефир найден через строку поиска и тег Кисломолочные продукты существует","","Thu Nov 28 05:46:04 GMT 2024","passed","Thu Nov 28 05:46:12 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistDelimeter"
"","1","NegativeTest3()","","Thu Nov 28 05:49:13 GMT 2024","passed","Thu Nov 28 05:49:13 GMT 2024","","simple.PositiveTests","simple.PositiveTests","NegativeTest3"
"","7939","Товар найден через строку поиска Товар кефир найден через строку поиска","","Thu Nov 28 05:46:29 GMT 2024","passed","Thu Nov 28 05:46:37 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmpty"
"","11604","Регистрация студента, все поля заполнены","","Thu Nov 28 05:45:03 GMT 2024","failed","Thu Nov 28 05:45:15 GMT 2024","","com.demoqa.SubmitPracticeFormPageTest","com.demoqa.SubmitPracticeFormPageTest","submitStudentRegistrationFormFillAllFieldsTest"
"","10033","webAnnotatedStepsTest()","","Thu Nov 28 05:44:21 GMT 2024","passed","Thu Nov 28 05:44:31 GMT 2024","","allure.AllureStepsTest","allure.AllureStepsTest","webAnnotatedStepsTest"
"","3","Создание ISSUE для авторизованного пользователя","","Thu Nov 28 05:44:21 GMT 2024","passed","Thu Nov 28 05:44:21 GMT 2024","","allure.AllureLabelsTest","allure.AllureLabelsTest","staticLabelsTest"
"","5743","LoginTest()","","Thu Nov 28 05:45:44 GMT 2024","passed","Thu Nov 28 05:45:50 GMT 2024","","com.lenta.LoginPageTests","com.lenta.LoginPageTests","LoginTest"
"","4","Создание ISSUE для авторизованного пользователя","","Thu Nov 28 05:44:21 GMT 2024","passed","Thu Nov 28 05:44:21 GMT 2024","","allure.AllureLabelsTest","allure.AllureLabelsTest","dynamicLabelsTest"
"","18","Чтение из CSV","","Thu Nov 28 05:48:42 GMT 2024","passed","Thu Nov 28 05:48:42 GMT 2024","","files.WorkWithCSVTests","files.WorkWithCSVTests","readCsv"
"","1443","Загрузка файла в input","","Thu Nov 28 05:48:40 GMT 2024","passed","Thu Nov 28 05:48:42 GMT 2024","","files.DownloadUploadFilesTests","files.DownloadUploadFilesTests","uploadFileToInput"
"","1","ChromeSystemPropertyTest()","","Thu Nov 28 05:49:13 GMT 2024","passed","Thu Nov 28 05:49:13 GMT 2024","","jenkins.SytestemPropertyTests","jenkins.SytestemPropertyTests","ChromeSystemPropertyTest"
"","8635","Товар найден через строку поиска и тег существует Товар молоко найден через строку поиска и тег Молоко и сливки существует","","Thu Nov 28 05:45:56 GMT 2024","passed","Thu Nov 28 05:46:04 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistDelimeter"
"","0","В архиве верный CSV","","Thu Nov 28 05:48:52 GMT 2024","passed","Thu Nov 28 05:48:52 GMT 2024","","files.WorkWithZipTests","files.WorkWithZipTests","readCsvFromZip"
"","56","В архиве верный xlsx","","Thu Nov 28 05:48:52 GMT 2024","passed","Thu Nov 28 05:48:52 GMT 2024","","files.WorkWithZipTests","files.WorkWithZipTests","readXlsxFromZip"
"","2489","findSelenidTest()","","Thu Nov 28 05:48:52 GMT 2024","passed","Thu Nov 28 05:48:55 GMT 2024","","github.FindSelenide","github.FindSelenide","findSelenidTest"
"","8368","Товар найден через строку поиска и тег существует Товар сметана найден через строку поиска и тег Сметана существует","","Thu Nov 28 05:46:12 GMT 2024","passed","Thu Nov 28 05:46:21 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistDelimeter"
"","7394","SelenideTest()","","Thu Nov 28 05:44:39 GMT 2024","passed","Thu Nov 28 05:44:47 GMT 2024","","allure.SelenideAllureTest","allure.SelenideAllureTest","SelenideTest"
"","10705","submitStudentRegistrationFormTest()","","Thu Nov 28 05:49:02 GMT 2024","failed","Thu Nov 28 05:49:13 GMT 2024","","jenkins.SubmitPracticeFormRemoteTest","jenkins.SubmitPracticeFormRemoteTest","submitStudentRegistrationFormTest"
"","5","Чтение из ZIP","","Thu Nov 28 05:48:52 GMT 2024","passed","Thu Nov 28 05:48:52 GMT 2024","","files.WorkWithZipTests","files.WorkWithZipTests","readZip"
"","8464","Товар найден через строку поиска и тег существует Товар молоко найден через строку поиска и тег Молоко и сливки существует","","Thu Nov 28 05:48:13 GMT 2024","passed","Thu Nov 28 05:48:21 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistCSVFile"
"","13465","Товар для взрослых найден через строку поиска и тег существует Товар для взрослых WHISKY найден через строку поиска и теги [Виски, Напитки, Посуда для сервировки, Конфеты, Конфеты и подарочные наборы, Для тела, до -40% на посуду Platinum Choice, Товары для отдыха и дома] существует","","Thu Nov 28 05:47:10 GMT 2024","failed","Thu Nov 28 05:47:23 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmptyTagsExist"
"","5812","LoginTest()","","Thu Nov 28 05:45:50 GMT 2024","passed","Thu Nov 28 05:45:56 GMT 2024","","com.lenta.LoginTests","com.lenta.LoginTests","LoginTest"
"","7854","lambdaStepsTest()","","Thu Nov 28 05:44:31 GMT 2024","passed","Thu Nov 28 05:44:39 GMT 2024","","allure.AllureStepsTest","allure.AllureStepsTest","lambdaStepsTest"
"","3014","Скачивание и проверка файла при наличии в кнопке href","","Thu Nov 28 05:48:37 GMT 2024","passed","Thu Nov 28 05:48:40 GMT 2024","","files.DownloadUploadFilesTests","files.DownloadUploadFilesTests","downloadAndCompareFileWithHref"
"","0","NegativeTest1()","","Thu Nov 28 05:49:13 GMT 2024","passed","Thu Nov 28 05:49:13 GMT 2024","","simple.PositiveTests","simple.PositiveTests","NegativeTest1"
"","15","Проверка JSON из файла","","Thu Nov 28 05:48:42 GMT 2024","passed","Thu Nov 28 05:48:42 GMT 2024","","files.WorkJacksonTests","files.WorkJacksonTests","createJacksonFromFile"
"","3127","submitStudentRegistrationFormFillRequiredFieldsNegativeTest()","","Thu Nov 28 05:45:15 GMT 2024","passed","Thu Nov 28 05:45:18 GMT 2024","","com.demoqa.SubmitPracticeFormPageTest","com.demoqa.SubmitPracticeFormPageTest","submitStudentRegistrationFormFillRequiredFieldsNegativeTest"
"","0","NegativeTest2()","","Thu Nov 28 05:49:13 GMT 2024","skipped","Thu Nov 28 05:49:13 GMT 2024","","simple.SkippedTests","simple.SkippedTests","NegativeTest2"
"","10","Чтение из JSON","","Thu Nov 28 05:48:42 GMT 2024","passed","Thu Nov 28 05:48:42 GMT 2024","","files.WorkWithJsonTests","files.WorkWithJsonTests","readJSON"
"","11","NegativeTest1()","","Thu Nov 28 05:49:13 GMT 2024","failed","Thu Nov 28 05:49:13 GMT 2024","","simple.NegativeTests","simple.NegativeTests","NegativeTest1"
"","974","dragDropWithElementsTest()","","Thu Nov 28 05:49:01 GMT 2024","passed","Thu Nov 28 05:49:02 GMT 2024","","herokuapp.DragAndDropTests","herokuapp.DragAndDropTests","dragDropWithElementsTest"
"","4795","simpleTest()","","Thu Nov 28 05:44:16 GMT 2024","passed","Thu Nov 28 05:44:21 GMT 2024","","SimpleLentaTests","SimpleLentaTests","simpleTest"
"","14060","submitStudentRegistrationFormFillRequiredFieldsTest()","","Thu Nov 28 05:44:48 GMT 2024","failed","Thu Nov 28 05:45:02 GMT 2024","","com.demoqa.SubmitPracticeFormPageTest","com.demoqa.SubmitPracticeFormPageTest","submitStudentRegistrationFormFillRequiredFieldsTest"
"","8747","Товар найден через строку поиска Товар сметана найден через строку поиска","","Thu Nov 28 05:46:37 GMT 2024","passed","Thu Nov 28 05:46:46 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmpty"
"","1","EmptySystemPropertyTest()","","Thu Nov 28 05:49:13 GMT 2024","passed","Thu Nov 28 05:49:13 GMT 2024","","jenkins.SytestemPropertyTests","jenkins.SytestemPropertyTests","EmptySystemPropertyTest"
"","97","Проверка JSON из класса","","Thu Nov 28 05:48:42 GMT 2024","passed","Thu Nov 28 05:48:42 GMT 2024","","files.WorkJacksonTests","files.WorkJacksonTests","createJacksonFromModel"
"","14061","openCatalog()","","Thu Nov 28 05:45:30 GMT 2024","failed","Thu Nov 28 05:45:44 GMT 2024","","com.lenta.Catalog","com.lenta.Catalog","openCatalog"
