"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","84","Проверка JSON из класса","","Thu Nov 21 15:40:24 GMT 2024","passed","Thu Nov 21 15:40:24 GMT 2024","","files.WorkJacksonTests","files.WorkJacksonTests","createJacksonFromModel"
"","0","NegativeTest2()","","Thu Nov 21 15:40:59 GMT 2024","passed","Thu Nov 21 15:40:59 GMT 2024","","simple.PositiveTests","simple.PositiveTests","NegativeTest2"
"","4060","findSelenidTest()","","Thu Nov 21 15:40:36 GMT 2024","passed","Thu Nov 21 15:40:40 GMT 2024","","github.FindSelenide","github.FindSelenide","findSelenidTest"
"","8293","Товар найден через строку поиска и тег существует Товар сметана найден через строку поиска и тег Сметана существует","","Thu Nov 21 15:40:11 GMT 2024","passed","Thu Nov 21 15:40:20 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistCSVFile"
"","389","dragDropWithActionsTest()","","Thu Nov 21 15:40:48 GMT 2024","passed","Thu Nov 21 15:40:48 GMT 2024","","herokuapp.DragAndDropTests","herokuapp.DragAndDropTests","dragDropWithActionsTest"
"","1","NegativeTest2()","","Thu Nov 21 15:40:59 GMT 2024","failed","Thu Nov 21 15:40:59 GMT 2024","","simple.NegativeTests","simple.NegativeTests","NegativeTest2"
"","8116","Товар для взрослых найден через строку поиска Товар для взрослых VODKA найден через строку поиска","","Thu Nov 21 15:38:35 GMT 2024","passed","Thu Nov 21 15:38:43 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmpty"
"","7","Чтение из JSON","","Thu Nov 21 15:40:24 GMT 2024","passed","Thu Nov 21 15:40:24 GMT 2024","","files.WorkWithJsonTests","files.WorkWithJsonTests","improveReadJSON"
"","13154","Товар для взрослых найден через строку поиска и тег существует Товар для взрослых BEER найден через строку поиска и теги [Пиво, сидр, медовуха, Импортное пиво, Лицензионное пиво] существует","","Thu Nov 21 15:39:04 GMT 2024","failed","Thu Nov 21 15:39:18 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmptyTagsExist"
"","8112","Товар найден через строку поиска Товар кефир найден через строку поиска","","Thu Nov 21 15:38:11 GMT 2024","passed","Thu Nov 21 15:38:19 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmpty"
"","0","NegativeTest1()","","Thu Nov 21 15:40:59 GMT 2024","skipped","Thu Nov 21 15:40:59 GMT 2024","","simple.SkippedTests","simple.SkippedTests","NegativeTest1"
