"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9073","Товар для взрослых найден через строку поиска Товар для взрослых BEER найден через строку поиска","","Thu Nov 21 15:52:07 GMT 2024","passed","Thu Nov 21 15:52:16 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmpty"
"","1","NegativeTest1()","","Thu Nov 21 15:54:11 GMT 2024","passed","Thu Nov 21 15:54:11 GMT 2024","","simple.PositiveTests","simple.PositiveTests","NegativeTest1"
"","0","NegativeTest1()","","Thu Nov 21 15:54:11 GMT 2024","skipped","Thu Nov 21 15:54:11 GMT 2024","","simple.SkippedTests","simple.SkippedTests","NegativeTest1"
"","5983","LoginTest()","","Thu Nov 21 15:50:48 GMT 2024","passed","Thu Nov 21 15:50:54 GMT 2024","","com.lenta.LoginPageTests","com.lenta.LoginPageTests","LoginTest"
"","8114","Товар найден через строку поиска и тег существует Товар сметана найден через строку поиска и тег Сметана существует","","Thu Nov 21 15:53:31 GMT 2024","passed","Thu Nov 21 15:53:39 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistCSVFile"
"","5989","LoginTest()","","Thu Nov 21 15:50:54 GMT 2024","passed","Thu Nov 21 15:51:00 GMT 2024","","com.lenta.LoginTests","com.lenta.LoginTests","LoginTest"
"","11049","webAnnotatedStepsTest()","","Thu Nov 21 15:49:27 GMT 2024","passed","Thu Nov 21 15:49:38 GMT 2024","","allure.AllureStepsTest","allure.AllureStepsTest","webAnnotatedStepsTest"
"","8157","Товар для взрослых найден через строку поиска Товар для взрослых WHISKY найден через строку поиска","","Thu Nov 21 15:51:51 GMT 2024","passed","Thu Nov 21 15:51:59 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmpty"
"","7","Проверка JSON из файла","","Thu Nov 21 15:53:44 GMT 2024","passed","Thu Nov 21 15:53:44 GMT 2024","","files.WorkJacksonTests","files.WorkJacksonTests","createJacksonFromFile"
"","18917","openCatalog()","","Thu Nov 21 15:50:29 GMT 2024","failed","Thu Nov 21 15:50:48 GMT 2024","","com.lenta.Catalog","com.lenta.Catalog","openCatalog"
"","48","В архиве верный xlsx","","Thu Nov 21 15:53:53 GMT 2024","passed","Thu Nov 21 15:53:53 GMT 2024","","files.WorkWithZipTests","files.WorkWithZipTests","readXlsxFromZip"
"","8627","Товар найден через строку поиска и тег существует Товар сметана найден через строку поиска и тег Сметана существует","","Thu Nov 21 15:51:17 GMT 2024","passed","Thu Nov 21 15:51:25 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistDelimeter"
"","8449","Товар найден через строку поиска и тег существует Товар кефир найден через строку поиска и тег Кисломолочные продукты существует","","Thu Nov 21 15:51:08 GMT 2024","passed","Thu Nov 21 15:51:17 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistDelimeter"
"","2910","fillAllField1Test()","","Thu Nov 21 15:50:26 GMT 2024","passed","Thu Nov 21 15:50:29 GMT 2024","","com.demoqa.TextBoxPageTests","com.demoqa.TextBoxPageTests","fillAllField1Test"
"","1","В архиве верный CSV","","Thu Nov 21 15:53:53 GMT 2024","passed","Thu Nov 21 15:53:53 GMT 2024","","files.WorkWithZipTests","files.WorkWithZipTests","readCsvFromZip"
"","9","Чтение из JSON","","Thu Nov 21 15:53:44 GMT 2024","passed","Thu Nov 21 15:53:44 GMT 2024","","files.WorkWithJsonTests","files.WorkWithJsonTests","readJSON"
"","1","NegativeTest2()","","Thu Nov 21 15:54:11 GMT 2024","failed","Thu Nov 21 15:54:11 GMT 2024","","simple.NegativeTests","simple.NegativeTests","NegativeTest2"
"","0","NegativeTest2()","","Thu Nov 21 15:54:11 GMT 2024","skipped","Thu Nov 21 15:54:11 GMT 2024","","simple.SkippedTests","simple.SkippedTests","NegativeTest2"
"","8111","Товар найден через строку поиска и тег существует Товар молоко найден через строку поиска и тег Молоко и сливки существует","","Thu Nov 21 15:51:00 GMT 2024","passed","Thu Nov 21 15:51:08 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistDelimeter"
"","10559","Товар для взрослых найден через строку поиска и тег существует Товар для взрослых BEER найден через строку поиска и теги [Пиво, сидр, медовуха, Импортное пиво, Лицензионное пиво] существует","","Thu Nov 21 15:52:29 GMT 2024","failed","Thu Nov 21 15:52:39 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmptyTagsExist"
"","8468","Товар найден через строку поиска Товар кефир найден через строку поиска","","Thu Nov 21 15:51:34 GMT 2024","passed","Thu Nov 21 15:51:43 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmpty"
"","7387","SelenideTest()","","Thu Nov 21 15:49:46 GMT 2024","passed","Thu Nov 21 15:49:54 GMT 2024","","allure.SelenideAllureTest","allure.SelenideAllureTest","SelenideTest"
"","7680","Товар найден через строку поиска и тег существует Товар кефир найден через строку поиска и тег Кисломолочные продукты существует","","Thu Nov 21 15:52:59 GMT 2024","passed","Thu Nov 21 15:53:07 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExist"
"","24","Чтение из JSON","","Thu Nov 21 15:53:44 GMT 2024","passed","Thu Nov 21 15:53:44 GMT 2024","","files.WorkWithJsonTests","files.WorkWithJsonTests","improveReadJSON"
"","2580","submitStudentRegistrationFormFillRequiredFieldsNegativeTest()","","Thu Nov 21 15:50:17 GMT 2024","passed","Thu Nov 21 15:50:20 GMT 2024","","com.demoqa.SubmitPracticeFormPageTest","com.demoqa.SubmitPracticeFormPageTest","submitStudentRegistrationFormFillRequiredFieldsNegativeTest"
"","12766","Товар для взрослых найден через строку поиска и тег существует Товар для взрослых WHISKY найден через строку поиска и теги [Виски, Напитки, Посуда для сервировки, Конфеты, Конфеты и подарочные наборы, Для тела, до -40% на посуду Platinum Choice, Товары для отдыха и дома] существует","","Thu Nov 21 15:52:16 GMT 2024","failed","Thu Nov 21 15:52:29 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmptyTagsExist"
"","7875","lambdaStepsTest()","","Thu Nov 21 15:49:38 GMT 2024","passed","Thu Nov 21 15:49:46 GMT 2024","","allure.AllureStepsTest","allure.AllureStepsTest","lambdaStepsTest"
"","10283","Регистрация студента, все поля заполнены","","Thu Nov 21 15:50:06 GMT 2024","failed","Thu Nov 21 15:50:16 GMT 2024","","com.demoqa.SubmitPracticeFormPageTest","com.demoqa.SubmitPracticeFormPageTest","submitStudentRegistrationFormFillAllFieldsTest"
"","8186","Товар найден через строку поиска и тег существует Товар сметана найден через строку поиска и тег Сметана существует","","Thu Nov 21 15:53:07 GMT 2024","passed","Thu Nov 21 15:53:15 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExist"
