"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3342","fillAllField1Test()","","Wed Dec 11 18:46:19 GMT 2024","passed","Wed Dec 11 18:46:23 GMT 2024","","com.demoqa.TextBoxPageTests","com.demoqa.TextBoxPageTests","fillAllField1Test"
"","3213","submitStudentRegistrationFormFillRequiredFieldsNegativeTest()","","Wed Dec 11 18:46:09 GMT 2024","passed","Wed Dec 11 18:46:12 GMT 2024","","com.demoqa.SubmitPracticeFormPageTest","com.demoqa.SubmitPracticeFormPageTest","submitStudentRegistrationFormFillRequiredFieldsNegativeTest"
"","15948","openCatalog()","","Wed Dec 11 18:46:23 GMT 2024","failed","Wed Dec 11 18:46:39 GMT 2024","","com.lenta.Catalog","com.lenta.Catalog","openCatalog"
"","1","NegativeTest1()","","Wed Dec 11 18:50:08 GMT 2024","passed","Wed Dec 11 18:50:08 GMT 2024","","simple.PositiveTests","simple.PositiveTests","NegativeTest1"
"","457","Загрузка файла","","Wed Dec 11 18:49:38 GMT 2024","broken","Wed Dec 11 18:49:38 GMT 2024","","files.DownloadUploadFilesTests","files.DownloadUploadFilesTests","uploadFile"
"","399","schemaValidateTest()","","Wed Dec 11 18:45:42 GMT 2024","passed","Wed Dec 11 18:45:42 GMT 2024","","api.reqres.ReqresApiSimpleTest","api.reqres.ReqresApiSimpleTest","schemaValidateTest"
"","46","getHeadersTest()","","Wed Dec 11 18:45:35 GMT 2024","passed","Wed Dec 11 18:45:35 GMT 2024","","api.reqres.ReqresApiSimpleTest","api.reqres.ReqresApiSimpleTest","getHeadersTest"
"","5908","LoginTest()","","Wed Dec 11 18:46:45 GMT 2024","passed","Wed Dec 11 18:46:51 GMT 2024","","com.lenta.LoginTests","com.lenta.LoginTests","LoginTest"
"","8465","Товар найден через строку поиска и тег существует Товар молоко найден через строку поиска и тег Молоко и сливки существует","","Wed Dec 11 18:46:51 GMT 2024","passed","Wed Dec 11 18:47:00 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistDelimeter"
"","5876","submitStudentRegistrationFormTest()","","Wed Dec 11 18:50:02 GMT 2024","passed","Wed Dec 11 18:50:08 GMT 2024","","jenkins.SubmitPracticeFormRemoteTest","jenkins.SubmitPracticeFormRemoteTest","submitStudentRegistrationFormTest"
