"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12139","Товар для взрослых найден через строку поиска и тег существует Товар для взрослых BEER найден через строку поиска и теги [Пиво, сидр, медовуха, Импортное пиво, Лицензионное пиво] существует","","Wed Nov 20 16:19:41 GMT 2024","failed","Wed Nov 20 16:19:53 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmptyTagsExist"
"","10147","submitStudentRegistrationFormTest()","","Wed Nov 20 16:21:15 GMT 2024","failed","Wed Nov 20 16:21:25 GMT 2024","","jenkins.SubmitPracticeFormRemoteTest","jenkins.SubmitPracticeFormRemoteTest","submitStudentRegistrationFormTest"
"","8470","Товар для взрослых найден через строку поиска Товар для взрослых WHISKY найден через строку поиска","","Wed Nov 20 16:19:05 GMT 2024","passed","Wed Nov 20 16:19:14 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmpty"
"","8","Чтение из JSON","","Wed Nov 20 16:20:56 GMT 2024","passed","Wed Nov 20 16:20:56 GMT 2024","","files.WorkWithJsonTests","files.WorkWithJsonTests","improveReadJSON"
"","5837","submitStudentRegistrationFormTest()","","Wed Nov 20 16:17:35 GMT 2024","passed","Wed Nov 20 16:17:41 GMT 2024","","com.demoqa.SubmitPracticeFormTest","com.demoqa.SubmitPracticeFormTest","submitStudentRegistrationFormTest"
"","6505","LoginTest()","","Wed Nov 20 16:18:05 GMT 2024","passed","Wed Nov 20 16:18:12 GMT 2024","","com.lenta.LoginPageTests","com.lenta.LoginPageTests","LoginTest"
"","78","Создание из класса JSON строки","","Wed Nov 20 16:20:56 GMT 2024","passed","Wed Nov 20 16:20:56 GMT 2024","","files.WorkJacksonTests","files.WorkJacksonTests","createJasonAsString"
"","2729","Скачивание и проверка файла при наличии в кнопке href","","Wed Nov 20 16:20:52 GMT 2024","passed","Wed Nov 20 16:20:54 GMT 2024","","files.DownloadUploadFilesTests","files.DownloadUploadFilesTests","downloadAndCompareFileWithHref"
"","7838","Товар найден через строку поиска и тег существует Товар кефир найден через строку поиска и тег Кисломолочные продукты существует","","Wed Nov 20 16:20:37 GMT 2024","passed","Wed Nov 20 16:20:44 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistCSVFile"
"","9","Чтение из JSON","","Wed Nov 20 16:20:56 GMT 2024","passed","Wed Nov 20 16:20:56 GMT 2024","","files.WorkWithJsonTests","files.WorkWithJsonTests","readJSON"
