"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","81","Проверка JSON из класса","","Tue Nov 26 06:37:34 GMT 2024","passed","Tue Nov 26 06:37:34 GMT 2024","","files.WorkJacksonTests","files.WorkJacksonTests","createJacksonFromModel"
"","2","NegativeTest3()","","Tue Nov 26 06:38:02 GMT 2024","failed","Tue Nov 26 06:38:02 GMT 2024","","simple.NegativeTests","simple.NegativeTests","NegativeTest3"
"","8099","Товар найден через строку поиска и тег существует Товар кефир найден через строку поиска и тег Кисломолочные продукты существует","","Tue Nov 26 06:36:47 GMT 2024","passed","Tue Nov 26 06:36:55 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExist"
"","2","В архиве верный CSV","","Tue Nov 26 06:37:43 GMT 2024","passed","Tue Nov 26 06:37:43 GMT 2024","","files.WorkWithZipTests","files.WorkWithZipTests","readCsvFromZip"
"","0","NegativeTest2()","","Tue Nov 26 06:38:02 GMT 2024","skipped","Tue Nov 26 06:38:02 GMT 2024","","simple.SkippedTests","simple.SkippedTests","NegativeTest2"
"","8429","Товар найден через строку поиска и тег существует Товар молоко найден через строку поиска и тег Молоко и сливки существует","","Tue Nov 26 06:36:38 GMT 2024","passed","Tue Nov 26 06:36:47 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExist"
"","7878","Товар найден через строку поиска Товар кефир найден через строку поиска","","Tue Nov 26 06:35:21 GMT 2024","passed","Tue Nov 26 06:35:29 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmpty"
"","7","Чтение из ZIP","","Tue Nov 26 06:37:43 GMT 2024","passed","Tue Nov 26 06:37:43 GMT 2024","","files.WorkWithZipTests","files.WorkWithZipTests","readZip"
"","2","Создание ISSUE для авторизованного пользователя","","Tue Nov 26 06:33:23 GMT 2024","passed","Tue Nov 26 06:33:23 GMT 2024","","allure.AllureLabelsTest","allure.AllureLabelsTest","dynamicLabelsTest"
"","1","ChromeSystemPropertyTest()","","Tue Nov 26 06:38:02 GMT 2024","passed","Tue Nov 26 06:38:02 GMT 2024","","jenkins.SytestemPropertyTests","jenkins.SytestemPropertyTests","ChromeSystemPropertyTest"
"","20","Создание из класса JSON строки","","Tue Nov 26 06:37:34 GMT 2024","passed","Tue Nov 26 06:37:34 GMT 2024","","files.WorkJacksonTests","files.WorkJacksonTests","createJasonAsString"
"","2","Создание ISSUE для авторизованного пользователя","","Tue Nov 26 06:33:23 GMT 2024","passed","Tue Nov 26 06:33:23 GMT 2024","","allure.AllureLabelsTest","allure.AllureLabelsTest","staticLabelsTest"
"","3416","fillAllField1Test()","","Tue Nov 26 06:34:18 GMT 2024","passed","Tue Nov 26 06:34:22 GMT 2024","","com.demoqa.TextBoxPageTests","com.demoqa.TextBoxPageTests","fillAllField1Test"
"","11","Проверка JSON из файла","","Tue Nov 26 06:37:34 GMT 2024","passed","Tue Nov 26 06:37:34 GMT 2024","","files.WorkJacksonTests","files.WorkJacksonTests","createJacksonFromFile"
"","8434","Товар для взрослых найден через строку поиска Товар для взрослых WHISKY найден через строку поиска","","Tue Nov 26 06:35:37 GMT 2024","passed","Tue Nov 26 06:35:45 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmpty"
"","2939","Скачивание и проверка файла при наличии в кнопке href","","Tue Nov 26 06:37:30 GMT 2024","passed","Tue Nov 26 06:37:33 GMT 2024","","files.DownloadUploadFilesTests","files.DownloadUploadFilesTests","downloadAndCompareFileWithHref"
"","12180","Товар для взрослых найден через строку поиска и тег существует Товар для взрослых VODKA найден через строку поиска и теги [Конфеты, Конфеты и подарочные наборы, Водка, настойки, Водка] существует","","Tue Nov 26 06:36:26 GMT 2024","failed","Tue Nov 26 06:36:38 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmptyTagsExist"
"","8290","Товар найден через строку поиска и тег существует Товар кефир найден через строку поиска и тег Кисломолочные продукты существует","","Tue Nov 26 06:37:11 GMT 2024","passed","Tue Nov 26 06:37:19 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistCSVFile"
"","15","Чтение из CSV","","Tue Nov 26 06:37:34 GMT 2024","passed","Tue Nov 26 06:37:34 GMT 2024","","files.WorkWithCSVTests","files.WorkWithCSVTests","readCsv"
"","12629","openCatalog()","","Tue Nov 26 06:34:22 GMT 2024","failed","Tue Nov 26 06:34:34 GMT 2024","","com.lenta.Catalog","com.lenta.Catalog","openCatalog"
"","7","Чтение из JSON","","Tue Nov 26 06:37:35 GMT 2024","passed","Tue Nov 26 06:37:35 GMT 2024","","files.WorkWithJsonTests","files.WorkWithJsonTests","readJSON"
"","8282","Товар найден через строку поиска и тег существует Товар кефир найден через строку поиска и тег Кисломолочные продукты существует","","Tue Nov 26 06:34:56 GMT 2024","passed","Tue Nov 26 06:35:05 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistDelimeter"
"","12731","Товар для взрослых найден через строку поиска и тег существует Товар для взрослых BEER найден через строку поиска и теги [Пиво, сидр, медовуха, Импортное пиво, Лицензионное пиво] существует","","Tue Nov 26 06:36:13 GMT 2024","failed","Tue Nov 26 06:36:26 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmptyTagsExist"
"","707","Загрузка файла","","Tue Nov 26 06:37:33 GMT 2024","broken","Tue Nov 26 06:37:33 GMT 2024","","files.DownloadUploadFilesTests","files.DownloadUploadFilesTests","uploadFile"
"","9710","webAnnotatedStepsTest()","","Tue Nov 26 06:33:23 GMT 2024","passed","Tue Nov 26 06:33:33 GMT 2024","","allure.AllureStepsTest","allure.AllureStepsTest","webAnnotatedStepsTest"
"","7921","Регистрация студента, все поля заполнены","","Tue Nov 26 06:34:01 GMT 2024","passed","Tue Nov 26 06:34:08 GMT 2024","","com.demoqa.SubmitPracticeFormPageTest","com.demoqa.SubmitPracticeFormPageTest","submitStudentRegistrationFormFillAllFieldsTest"
"","10184","Товар найден через строку поиска и тег существует Товар сметана найден через строку поиска и тег Сметана существует","","Tue Nov 26 06:37:19 GMT 2024","failed","Tue Nov 26 06:37:30 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistCSVFile"
"","7836","lambdaStepsTest()","","Tue Nov 26 06:33:33 GMT 2024","passed","Tue Nov 26 06:33:41 GMT 2024","","allure.AllureStepsTest","allure.AllureStepsTest","lambdaStepsTest"
"","420","dragDropWithElementsTest()","","Tue Nov 26 06:37:51 GMT 2024","passed","Tue Nov 26 06:37:51 GMT 2024","","herokuapp.DragAndDropTests","herokuapp.DragAndDropTests","dragDropWithElementsTest"
"","8255","Товар найден через строку поиска и тег существует Товар молоко найден через строку поиска и тег Молоко и сливки существует","","Tue Nov 26 06:37:03 GMT 2024","passed","Tue Nov 26 06:37:11 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistCSVFile"
"","9","DefSystemPropertyTest()","","Tue Nov 26 06:38:02 GMT 2024","passed","Tue Nov 26 06:38:02 GMT 2024","","jenkins.SytestemPropertyTests","jenkins.SytestemPropertyTests","DefSystemPropertyTest"
"","51","В архиве верный xlsx","","Tue Nov 26 06:37:43 GMT 2024","passed","Tue Nov 26 06:37:43 GMT 2024","","files.WorkWithZipTests","files.WorkWithZipTests","readXlsxFromZip"
