"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","49","В архиве верный xlsx","","Mon Nov 25 17:33:39 GMT 2024","passed","Mon Nov 25 17:33:39 GMT 2024","","files.WorkWithZipTests","files.WorkWithZipTests","readXlsxFromZip"
"","1","NegativeTest3()","","Mon Nov 25 17:33:59 GMT 2024","passed","Mon Nov 25 17:33:59 GMT 2024","","simple.PositiveTests","simple.PositiveTests","NegativeTest3"
"","15996","Товар найден через строку поиска и тег существует Товар кефир найден через строку поиска и тег Кисломолочные продукты существует","","Mon Nov 25 17:32:37 GMT 2024","failed","Mon Nov 25 17:32:53 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExist"
"","1","ChromeSystemPropertyTest()","","Mon Nov 25 17:33:58 GMT 2024","passed","Mon Nov 25 17:33:58 GMT 2024","","jenkins.SytestemPropertyTests","jenkins.SytestemPropertyTests","ChromeSystemPropertyTest"
"","8","Проверка JSON из файла","","Mon Nov 25 17:33:29 GMT 2024","passed","Mon Nov 25 17:33:29 GMT 2024","","files.WorkJacksonTests","files.WorkJacksonTests","createJacksonFromFile"
"","7495","SelenideTest()","","Mon Nov 25 17:28:48 GMT 2024","passed","Mon Nov 25 17:28:55 GMT 2024","","allure.SelenideAllureTest","allure.SelenideAllureTest","SelenideTest"
"","8349","Товар найден через строку поиска и тег существует Товар молоко найден через строку поиска и тег Молоко и сливки существует","","Mon Nov 25 17:30:04 GMT 2024","passed","Mon Nov 25 17:30:13 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistDelimeter"
"","2","NegativeTest2()","","Mon Nov 25 17:33:58 GMT 2024","failed","Mon Nov 25 17:33:58 GMT 2024","","simple.NegativeTests","simple.NegativeTests","NegativeTest2"
"","317","dragDropWithActionsTest()","","Mon Nov 25 17:33:48 GMT 2024","passed","Mon Nov 25 17:33:48 GMT 2024","","herokuapp.DragAndDropTests","herokuapp.DragAndDropTests","dragDropWithActionsTest"
"","5540","Чтение из PDF","","Mon Nov 25 17:33:30 GMT 2024","passed","Mon Nov 25 17:33:35 GMT 2024","","files.WorkWithPdfTests","files.WorkWithPdfTests","readPdf"
"","0","NegativeTest2()","","Mon Nov 25 17:33:59 GMT 2024","passed","Mon Nov 25 17:33:59 GMT 2024","","simple.PositiveTests","simple.PositiveTests","NegativeTest2"
"","10013","Товар найден через строку поиска Товар кефир найден через строку поиска","","Mon Nov 25 17:30:49 GMT 2024","failed","Mon Nov 25 17:30:59 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmpty"
"","3000","Скачивание и проверка файла при наличии в кнопке href","","Mon Nov 25 17:33:25 GMT 2024","passed","Mon Nov 25 17:33:28 GMT 2024","","files.DownloadUploadFilesTests","files.DownloadUploadFilesTests","downloadAndCompareFileWithHref"
"","28116","simpleTest()","","Mon Nov 25 17:28:02 GMT 2024","passed","Mon Nov 25 17:28:30 GMT 2024","","SimpleLentaTests","SimpleLentaTests","simpleTest"
