"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3598","findSelenidTest()","","Thu Nov 21 16:22:55 GMT 2024","passed","Thu Nov 21 16:22:58 GMT 2024","","github.FindSelenide","github.FindSelenide","findSelenidTest"
"","1","NegativeTest3()","","Thu Nov 21 16:23:15 GMT 2024","failed","Thu Nov 21 16:23:15 GMT 2024","","simple.NegativeTests","simple.NegativeTests","NegativeTest3"
"","0","NegativeTest2()","","Thu Nov 21 16:23:15 GMT 2024","skipped","Thu Nov 21 16:23:15 GMT 2024","","simple.SkippedTests","simple.SkippedTests","NegativeTest2"
"","1","Создание ISSUE для авторизованного пользователя","","Thu Nov 21 16:21:58 GMT 2024","passed","Thu Nov 21 16:21:58 GMT 2024","","allure.AllureLabelsTest","allure.AllureLabelsTest","dynamicLabelsTest"
"","2","NegativeTest2()","","Thu Nov 21 16:23:15 GMT 2024","failed","Thu Nov 21 16:23:15 GMT 2024","","simple.NegativeTests","simple.NegativeTests","NegativeTest2"
"","27","Создание ISSUE для авторизованного пользователя","","Thu Nov 21 16:21:58 GMT 2024","passed","Thu Nov 21 16:21:58 GMT 2024","","allure.AllureLabelsTest","allure.AllureLabelsTest","staticLabelsTest"
"","1","NegativeTest1()","","Thu Nov 21 16:23:15 GMT 2024","passed","Thu Nov 21 16:23:15 GMT 2024","","simple.PositiveTests","simple.PositiveTests","NegativeTest1"
"","2900","fillAllField1Test()","","Thu Nov 21 16:22:52 GMT 2024","passed","Thu Nov 21 16:22:55 GMT 2024","","com.demoqa.TextBoxPageTests","com.demoqa.TextBoxPageTests","fillAllField1Test"
"","6396","hoverSolutionTest()","","Thu Nov 21 16:22:58 GMT 2024","passed","Thu Nov 21 16:23:05 GMT 2024","","github.FindSolutionsTests","github.FindSolutionsTests","hoverSolutionTest"
"","0","NegativeTest2()","","Thu Nov 21 16:23:15 GMT 2024","passed","Thu Nov 21 16:23:15 GMT 2024","","simple.PositiveTests","simple.PositiveTests","NegativeTest2"
"","1","NegativeTest3()","","Thu Nov 21 16:23:15 GMT 2024","passed","Thu Nov 21 16:23:15 GMT 2024","","simple.PositiveTests","simple.PositiveTests","NegativeTest3"
"","0","NegativeTest1()","","Thu Nov 21 16:23:15 GMT 2024","skipped","Thu Nov 21 16:23:15 GMT 2024","","simple.SkippedTests","simple.SkippedTests","NegativeTest1"
"","2","NegativeTest1()","","Thu Nov 21 16:23:14 GMT 2024","failed","Thu Nov 21 16:23:14 GMT 2024","","simple.NegativeTests","simple.NegativeTests","NegativeTest1"
"","9976","submitStudentRegistrationFormFillRequiredFieldsTest()","","Thu Nov 21 16:22:26 GMT 2024","failed","Thu Nov 21 16:22:36 GMT 2024","","com.demoqa.SubmitPracticeFormPageTest","com.demoqa.SubmitPracticeFormPageTest","submitStudentRegistrationFormFillRequiredFieldsTest"
"","2485","submitStudentRegistrationFormFillRequiredFieldsNegativeTest()","","Thu Nov 21 16:22:48 GMT 2024","passed","Thu Nov 21 16:22:51 GMT 2024","","com.demoqa.SubmitPracticeFormPageTest","com.demoqa.SubmitPracticeFormPageTest","submitStudentRegistrationFormFillRequiredFieldsNegativeTest"
"","9941","submitStudentRegistrationFormTest()","","Thu Nov 21 16:23:05 GMT 2024","failed","Thu Nov 21 16:23:14 GMT 2024","","jenkins.SubmitPracticeFormRemoteTest","jenkins.SubmitPracticeFormRemoteTest","submitStudentRegistrationFormTest"
"","10860","Регистрация студента, все поля заполнены","","Thu Nov 21 16:22:37 GMT 2024","failed","Thu Nov 21 16:22:48 GMT 2024","","com.demoqa.SubmitPracticeFormPageTest","com.demoqa.SubmitPracticeFormPageTest","submitStudentRegistrationFormFillAllFieldsTest"
"","0","NegativeTest3()","","Thu Nov 21 16:23:15 GMT 2024","skipped","Thu Nov 21 16:23:15 GMT 2024","","simple.SkippedTests","simple.SkippedTests","NegativeTest3"
"","8241","lambdaStepsTest()","","Thu Nov 21 16:22:09 GMT 2024","passed","Thu Nov 21 16:22:17 GMT 2024","","allure.AllureStepsTest","allure.AllureStepsTest","lambdaStepsTest"
"","7414","SelenideTest()","","Thu Nov 21 16:22:17 GMT 2024","passed","Thu Nov 21 16:22:25 GMT 2024","","allure.SelenideAllureTest","allure.SelenideAllureTest","SelenideTest"
"","10867","webAnnotatedStepsTest()","","Thu Nov 21 16:21:58 GMT 2024","passed","Thu Nov 21 16:22:09 GMT 2024","","allure.AllureStepsTest","allure.AllureStepsTest","webAnnotatedStepsTest"
