"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","NegativeTest3()","","Tue Nov 26 05:59:49 GMT 2024","skipped","Tue Nov 26 05:59:49 GMT 2024","","simple.SkippedTests","simple.SkippedTests","NegativeTest3"
"","21","Проверка JSON из файла","","Tue Nov 26 05:59:19 GMT 2024","passed","Tue Nov 26 05:59:19 GMT 2024","","files.WorkJacksonTests","files.WorkJacksonTests","createJacksonFromFile"
"","9019","Товар найден через строку поиска и тег существует Товар сметана найден через строку поиска и тег Сметана существует","","Tue Nov 26 05:58:39 GMT 2024","passed","Tue Nov 26 05:58:48 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExist"
"","8695","Товар для взрослых найден через строку поиска Товар для взрослых WHISKY найден через строку поиска","","Tue Nov 26 05:57:21 GMT 2024","passed","Tue Nov 26 05:57:29 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmpty"
"","2","Создание ISSUE для авторизованного пользователя","","Tue Nov 26 05:54:56 GMT 2024","passed","Tue Nov 26 05:54:56 GMT 2024","","allure.AllureLabelsTest","allure.AllureLabelsTest","dynamicLabelsTest"
"","3","Создание ISSUE для авторизованного пользователя","","Tue Nov 26 05:54:56 GMT 2024","passed","Tue Nov 26 05:54:56 GMT 2024","","allure.AllureLabelsTest","allure.AllureLabelsTest","staticLabelsTest"
"","10","Чтение из JSON","","Tue Nov 26 05:59:19 GMT 2024","passed","Tue Nov 26 05:59:19 GMT 2024","","files.WorkWithJsonTests","files.WorkWithJsonTests","readJSON"
"","6171","submitStudentRegistrationFormTest()","","Tue Nov 26 05:55:49 GMT 2024","passed","Tue Nov 26 05:55:56 GMT 2024","","com.demoqa.SubmitPracticeFormTest","com.demoqa.SubmitPracticeFormTest","submitStudentRegistrationFormTest"
"","8206","lambdaStepsTest()","","Tue Nov 26 05:55:06 GMT 2024","passed","Tue Nov 26 05:55:14 GMT 2024","","allure.AllureStepsTest","allure.AllureStepsTest","lambdaStepsTest"
"","0","NegativeTest2()","","Tue Nov 26 05:59:49 GMT 2024","skipped","Tue Nov 26 05:59:49 GMT 2024","","simple.SkippedTests","simple.SkippedTests","NegativeTest2"
