"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","NegativeTest1()","","Thu Nov 21 16:36:05 GMT 2024","skipped","Thu Nov 21 16:36:05 GMT 2024","","simple.SkippedTests","simple.SkippedTests","NegativeTest1"
"","22","Создание ISSUE для авторизованного пользователя","","Thu Nov 21 16:33:08 GMT 2024","passed","Thu Nov 21 16:33:08 GMT 2024","","allure.AllureLabelsTest","allure.AllureLabelsTest","staticLabelsTest"
"","1","NegativeTest2()","","Thu Nov 21 16:36:05 GMT 2024","failed","Thu Nov 21 16:36:05 GMT 2024","","simple.NegativeTests","simple.NegativeTests","NegativeTest2"
"","8649","submitStudentRegistrationFormFillRequiredFieldsNegativeTest()","","Thu Nov 21 16:34:45 GMT 2024","passed","Thu Nov 21 16:34:54 GMT 2024","","com.demoqa.SubmitPracticeFormPageTest","com.demoqa.SubmitPracticeFormPageTest","submitStudentRegistrationFormFillRequiredFieldsNegativeTest"
"","7838","lambdaStepsTest()","","Thu Nov 21 16:33:19 GMT 2024","passed","Thu Nov 21 16:33:27 GMT 2024","","allure.AllureStepsTest","allure.AllureStepsTest","lambdaStepsTest"
"","7425","SelenideTest()","","Thu Nov 21 16:33:27 GMT 2024","passed","Thu Nov 21 16:33:35 GMT 2024","","allure.SelenideAllureTest","allure.SelenideAllureTest","SelenideTest"
"","57189","Регистрация студента, все поля заполнены","","Thu Nov 21 16:33:47 GMT 2024","passed","Thu Nov 21 16:34:44 GMT 2024","","com.demoqa.SubmitPracticeFormPageTest","com.demoqa.SubmitPracticeFormPageTest","submitStudentRegistrationFormFillAllFieldsTest"
"","2","NegativeTest1()","","Thu Nov 21 16:36:05 GMT 2024","failed","Thu Nov 21 16:36:05 GMT 2024","","simple.NegativeTests","simple.NegativeTests","NegativeTest1"
"","1","NegativeTest3()","","Thu Nov 21 16:36:05 GMT 2024","passed","Thu Nov 21 16:36:05 GMT 2024","","simple.PositiveTests","simple.PositiveTests","NegativeTest3"
"","1","NegativeTest3()","","Thu Nov 21 16:36:05 GMT 2024","failed","Thu Nov 21 16:36:05 GMT 2024","","simple.NegativeTests","simple.NegativeTests","NegativeTest3"
"","12615","fillAllField1Test()","","Thu Nov 21 16:34:54 GMT 2024","passed","Thu Nov 21 16:35:07 GMT 2024","","com.demoqa.TextBoxPageTests","com.demoqa.TextBoxPageTests","fillAllField1Test"
"","10603","submitStudentRegistrationFormFillRequiredFieldsTest()","","Thu Nov 21 16:33:36 GMT 2024","failed","Thu Nov 21 16:33:46 GMT 2024","","com.demoqa.SubmitPracticeFormPageTest","com.demoqa.SubmitPracticeFormPageTest","submitStudentRegistrationFormFillRequiredFieldsTest"
"","11222","webAnnotatedStepsTest()","","Thu Nov 21 16:33:08 GMT 2024","passed","Thu Nov 21 16:33:19 GMT 2024","","allure.AllureStepsTest","allure.AllureStepsTest","webAnnotatedStepsTest"
"","3","NegativeTest1()","","Thu Nov 21 16:36:05 GMT 2024","passed","Thu Nov 21 16:36:05 GMT 2024","","simple.PositiveTests","simple.PositiveTests","NegativeTest1"
"","0","NegativeTest3()","","Thu Nov 21 16:36:05 GMT 2024","skipped","Thu Nov 21 16:36:05 GMT 2024","","simple.SkippedTests","simple.SkippedTests","NegativeTest3"
"","27863","submitStudentRegistrationFormTest()","","Thu Nov 21 16:35:37 GMT 2024","passed","Thu Nov 21 16:36:05 GMT 2024","","jenkins.SubmitPracticeFormRemoteTest","jenkins.SubmitPracticeFormRemoteTest","submitStudentRegistrationFormTest"
"","1","Создание ISSUE для авторизованного пользователя","","Thu Nov 21 16:33:08 GMT 2024","passed","Thu Nov 21 16:33:08 GMT 2024","","allure.AllureLabelsTest","allure.AllureLabelsTest","dynamicLabelsTest"
"","0","NegativeTest2()","","Thu Nov 21 16:36:05 GMT 2024","skipped","Thu Nov 21 16:36:05 GMT 2024","","simple.SkippedTests","simple.SkippedTests","NegativeTest2"
"","1","NegativeTest2()","","Thu Nov 21 16:36:05 GMT 2024","passed","Thu Nov 21 16:36:05 GMT 2024","","simple.PositiveTests","simple.PositiveTests","NegativeTest2"
"","13736","findSelenidTest()","","Thu Nov 21 16:35:07 GMT 2024","passed","Thu Nov 21 16:35:21 GMT 2024","","github.FindSelenide","github.FindSelenide","findSelenidTest"
"","16689","hoverSolutionTest()","","Thu Nov 21 16:35:21 GMT 2024","passed","Thu Nov 21 16:35:37 GMT 2024","","github.FindSolutionsTests","github.FindSolutionsTests","hoverSolutionTest"
