"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2744","Скачивание и проверка файла при наличии в кнопке href","","Thu Nov 28 05:35:34 GMT 2024","passed","Thu Nov 28 05:35:37 GMT 2024","","files.DownloadUploadFilesTests","files.DownloadUploadFilesTests","downloadAndCompareFileWithHref"
"","8102","Товар для взрослых найден через строку поиска Товар для взрослых WHISKY найден через строку поиска","","Thu Nov 28 05:33:32 GMT 2024","passed","Thu Nov 28 05:33:40 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmpty"
"","7966","Товар найден через строку поиска и тег существует Товар молоко найден через строку поиска и тег Молоко и сливки существует","","Thu Nov 28 05:32:43 GMT 2024","passed","Thu Nov 28 05:32:51 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistDelimeter"
"","9909","submitStudentRegistrationFormTest()","","Thu Nov 28 05:37:23 GMT 2024","failed","Thu Nov 28 05:37:33 GMT 2024","","jenkins.SubmitPracticeFormRemoteTest","jenkins.SubmitPracticeFormRemoteTest","submitStudentRegistrationFormTest"
"","0","EmptySystemPropertyTest()","","Thu Nov 28 05:37:33 GMT 2024","passed","Thu Nov 28 05:37:33 GMT 2024","","jenkins.SytestemPropertyTests","jenkins.SytestemPropertyTests","EmptySystemPropertyTest"
"","1","NegativeTest1()","","Thu Nov 28 05:37:33 GMT 2024","passed","Thu Nov 28 05:37:33 GMT 2024","","simple.PositiveTests","simple.PositiveTests","NegativeTest1"
"","6079","submitStudentRegistrationFormTest()","","Thu Nov 28 05:32:07 GMT 2024","passed","Thu Nov 28 05:32:14 GMT 2024","","com.demoqa.SubmitPracticeFormTest","com.demoqa.SubmitPracticeFormTest","submitStudentRegistrationFormTest"
"","699","Загрузка файла","","Thu Nov 28 05:35:37 GMT 2024","broken","Thu Nov 28 05:35:37 GMT 2024","","files.DownloadUploadFilesTests","files.DownloadUploadFilesTests","uploadFile"
"","3666","fillAllField1Test()","","Thu Nov 28 05:32:14 GMT 2024","passed","Thu Nov 28 05:32:18 GMT 2024","","com.demoqa.TextBoxPageTests","com.demoqa.TextBoxPageTests","fillAllField1Test"
"","8197","Товар найден через строку поиска и тег существует Товар сметана найден через строку поиска и тег Сметана существует","","Thu Nov 28 05:32:59 GMT 2024","passed","Thu Nov 28 05:33:07 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistDelimeter"
"","0","DefSystemPropertyTest()","","Thu Nov 28 05:37:33 GMT 2024","passed","Thu Nov 28 05:37:33 GMT 2024","","jenkins.SytestemPropertyTests","jenkins.SytestemPropertyTests","DefSystemPropertyTest"
"","4877","Чтение из XLS","","Thu Nov 28 05:37:09 GMT 2024","passed","Thu Nov 28 05:37:14 GMT 2024","","files.WorkWithXLSTests","files.WorkWithXLSTests","readXlsx"
"","8567","Товар найден через строку поиска Товар молоко найден через строку поиска","","Thu Nov 28 05:33:07 GMT 2024","passed","Thu Nov 28 05:33:16 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmpty"
"","8540","Товар найден через строку поиска и тег существует Товар кефир найден через строку поиска и тег Кисломолочные продукты существует","","Thu Nov 28 05:35:17 GMT 2024","passed","Thu Nov 28 05:35:26 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistCSVFile"
"","6","Создание ISSUE для авторизованного пользователя","","Thu Nov 28 05:31:20 GMT 2024","passed","Thu Nov 28 05:31:20 GMT 2024","","allure.AllureLabelsTest","allure.AllureLabelsTest","dynamicLabelsTest"
"","6","В архиве есть pdf, xlsx, json","","Thu Nov 28 05:37:14 GMT 2024","passed","Thu Nov 28 05:37:14 GMT 2024","","files.WorkWithZipTests","files.WorkWithZipTests","readZipAndAssert1"
"","11383","Регистрация студента, все поля заполнены","","Thu Nov 28 05:31:53 GMT 2024","failed","Thu Nov 28 05:32:04 GMT 2024","","com.demoqa.SubmitPracticeFormPageTest","com.demoqa.SubmitPracticeFormPageTest","submitStudentRegistrationFormFillAllFieldsTest"
"","8","Чтение из JSON","","Thu Nov 28 05:35:39 GMT 2024","passed","Thu Nov 28 05:35:39 GMT 2024","","files.WorkWithJsonTests","files.WorkWithJsonTests","readJSON"
"","6266","LoginTest()","","Thu Nov 28 05:32:36 GMT 2024","passed","Thu Nov 28 05:32:43 GMT 2024","","com.lenta.LoginTests","com.lenta.LoginTests","LoginTest"
"","40","Создание из класса JSON строки","","Thu Nov 28 05:35:38 GMT 2024","passed","Thu Nov 28 05:35:39 GMT 2024","","files.WorkJacksonTests","files.WorkJacksonTests","createJasonAsString"
"","6391","hoverSolutionTest()","","Thu Nov 28 05:37:16 GMT 2024","passed","Thu Nov 28 05:37:23 GMT 2024","","github.FindSolutionsTests","github.FindSolutionsTests","hoverSolutionTest"
"","8269","Товар найден через строку поиска и тег существует Товар кефир найден через строку поиска и тег Кисломолочные продукты существует","","Thu Nov 28 05:32:51 GMT 2024","passed","Thu Nov 28 05:32:59 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistDelimeter"
"","12280","Товар для взрослых найден через строку поиска и тег существует Товар для взрослых BEER найден через строку поиска и теги [Пиво, сидр, медовуха, Импортное пиво, Лицензионное пиво] существует","","Thu Nov 28 05:34:08 GMT 2024","failed","Thu Nov 28 05:34:20 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmptyTagsExist"
"","2507","findSelenidTest()","","Thu Nov 28 05:37:14 GMT 2024","passed","Thu Nov 28 05:37:16 GMT 2024","","github.FindSelenide","github.FindSelenide","findSelenidTest"
"","3","NegativeTest3()","","Thu Nov 28 05:37:33 GMT 2024","passed","Thu Nov 28 05:37:33 GMT 2024","","simple.PositiveTests","simple.PositiveTests","NegativeTest3"
"","8531","Товар найден через строку поиска и тег существует Товар молоко найден через строку поиска и тег Молоко и сливки существует","","Thu Nov 28 05:35:09 GMT 2024","passed","Thu Nov 28 05:35:17 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistCSVFile"
"","7","Чтение из JSON","","Thu Nov 28 05:35:39 GMT 2024","passed","Thu Nov 28 05:35:39 GMT 2024","","files.WorkWithJsonTests","files.WorkWithJsonTests","improveReadJSON"
"","90027","Чтение из PDF","","Thu Nov 28 05:35:39 GMT 2024","broken","Thu Nov 28 05:37:09 GMT 2024","","files.WorkWithPdfTests","files.WorkWithPdfTests","readPdf"
"","282","В архиве верный pdf","","Thu Nov 28 05:37:14 GMT 2024","passed","Thu Nov 28 05:37:14 GMT 2024","","files.WorkWithZipTests","files.WorkWithZipTests","readPdfFromZip"
"","0","NegativeTest1()","","Thu Nov 28 05:37:33 GMT 2024","skipped","Thu Nov 28 05:37:33 GMT 2024","","simple.SkippedTests","simple.SkippedTests","NegativeTest1"
"","5055","LoginTest()","","Thu Nov 28 05:32:31 GMT 2024","passed","Thu Nov 28 05:32:36 GMT 2024","","com.lenta.LoginPageTests","com.lenta.LoginPageTests","LoginTest"
"","7","Проверка JSON из файла","","Thu Nov 28 05:35:39 GMT 2024","passed","Thu Nov 28 05:35:39 GMT 2024","","files.WorkJacksonTests","files.WorkJacksonTests","createJacksonFromFile"
"","73","Проверка JSON из класса","","Thu Nov 28 05:35:38 GMT 2024","passed","Thu Nov 28 05:35:38 GMT 2024","","files.WorkJacksonTests","files.WorkJacksonTests","createJacksonFromModel"
"","7962","Товар найден через строку поиска и тег существует Товар сметана найден через строку поиска и тег Сметана существует","","Thu Nov 28 05:35:26 GMT 2024","passed","Thu Nov 28 05:35:34 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistCSVFile"
"","9432","webAnnotatedStepsTest()","","Thu Nov 28 05:31:20 GMT 2024","passed","Thu Nov 28 05:31:30 GMT 2024","","allure.AllureStepsTest","allure.AllureStepsTest","webAnnotatedStepsTest"
"","2","Создание ISSUE для авторизованного пользователя","","Thu Nov 28 05:31:20 GMT 2024","passed","Thu Nov 28 05:31:20 GMT 2024","","allure.AllureLabelsTest","allure.AllureLabelsTest","staticLabelsTest"
"","13401","openCatalog()","","Thu Nov 28 05:32:18 GMT 2024","failed","Thu Nov 28 05:32:31 GMT 2024","","com.lenta.Catalog","com.lenta.Catalog","openCatalog"
"","5605","submitStudentRegistrationFormFillRequiredFieldsTest()","","Thu Nov 28 05:31:46 GMT 2024","passed","Thu Nov 28 05:31:52 GMT 2024","","com.demoqa.SubmitPracticeFormPageTest","com.demoqa.SubmitPracticeFormPageTest","submitStudentRegistrationFormFillRequiredFieldsTest"
"","19425","Товар найден через строку поиска и тег существует Товар кефир найден через строку поиска и тег Кисломолочные продукты существует","","Thu Nov 28 05:34:41 GMT 2024","passed","Thu Nov 28 05:35:00 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExist"
"","8019","lambdaStepsTest()","","Thu Nov 28 05:31:30 GMT 2024","passed","Thu Nov 28 05:31:38 GMT 2024","","allure.AllureStepsTest","allure.AllureStepsTest","lambdaStepsTest"
"","58","В архиве верный xlsx","","Thu Nov 28 05:37:14 GMT 2024","passed","Thu Nov 28 05:37:14 GMT 2024","","files.WorkWithZipTests","files.WorkWithZipTests","readXlsxFromZip"
"","13157","Товар для взрослых найден через строку поиска и тег существует Товар для взрослых WHISKY найден через строку поиска и теги [Виски, Напитки, Посуда для сервировки, Конфеты, Конфеты и подарочные наборы, Для тела, до -40% на посуду Platinum Choice, Товары для отдыха и дома] существует","","Thu Nov 28 05:33:55 GMT 2024","failed","Thu Nov 28 05:34:08 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmptyTagsExist"
"","0","NegativeTest3()","","Thu Nov 28 05:37:33 GMT 2024","skipped","Thu Nov 28 05:37:33 GMT 2024","","simple.SkippedTests","simple.SkippedTests","NegativeTest3"
