"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8307","Товар найден через строку поиска Товар кефир найден через строку поиска","","Wed Nov 20 16:57:54 GMT 2024","passed","Wed Nov 20 16:58:02 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmpty"
"","12683","Товар для взрослых найден через строку поиска и тег существует Товар для взрослых WHISKY найден через строку поиска и теги [Виски, Напитки, Посуда для сервировки, Конфеты, Конфеты и подарочные наборы, Для тела, до -40% на посуду Platinum Choice, Товары для отдыха и дома] существует","","Wed Nov 20 16:58:40 GMT 2024","failed","Wed Nov 20 16:58:53 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmptyTagsExist"
"","0","NegativeTest2()","","Wed Nov 20 17:00:44 GMT 2024","skipped","Wed Nov 20 17:00:44 GMT 2024","","simple.SkippedTests","simple.SkippedTests","NegativeTest2"
"","2","NegativeTest1()","","Wed Nov 20 17:00:44 GMT 2024","failed","Wed Nov 20 17:00:44 GMT 2024","","simple.NegativeTests","simple.NegativeTests","NegativeTest1"
"","50","Создание из класса JSON строки","","Wed Nov 20 17:00:15 GMT 2024","passed","Wed Nov 20 17:00:15 GMT 2024","","files.WorkJacksonTests","files.WorkJacksonTests","createJasonAsString"
"","22","Создание ISSUE для авторизованного пользователя","","Wed Nov 20 16:55:51 GMT 2024","passed","Wed Nov 20 16:55:51 GMT 2024","","allure.AllureLabelsTest","allure.AllureLabelsTest","staticLabelsTest"
"","9730","Товар найден через строку поиска и тег существует Товар кефир найден через строку поиска и тег Кисломолочные продукты существует","","Wed Nov 20 16:59:53 GMT 2024","failed","Wed Nov 20 17:00:03 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistCSVFile"
"","3545","Чтение из XLS","","Wed Nov 20 17:00:21 GMT 2024","passed","Wed Nov 20 17:00:25 GMT 2024","","files.WorkWithXLSTests","files.WorkWithXLSTests","readXlsx"
"","6226","hoverSolutionTest()","","Wed Nov 20 17:00:27 GMT 2024","passed","Wed Nov 20 17:00:34 GMT 2024","","github.FindSolutionsTests","github.FindSolutionsTests","hoverSolutionTest"
"","10076","submitStudentRegistrationFormTest()","","Wed Nov 20 17:00:34 GMT 2024","failed","Wed Nov 20 17:00:44 GMT 2024","","jenkins.SubmitPracticeFormRemoteTest","jenkins.SubmitPracticeFormRemoteTest","submitStudentRegistrationFormTest"
"","8","Чтение из JSON","","Wed Nov 20 17:00:15 GMT 2024","passed","Wed Nov 20 17:00:15 GMT 2024","","files.WorkWithJsonTests","files.WorkWithJsonTests","improveReadJSON"
"","7984","lambdaStepsTest()","","Wed Nov 20 16:56:02 GMT 2024","passed","Wed Nov 20 16:56:10 GMT 2024","","allure.AllureStepsTest","allure.AllureStepsTest","lambdaStepsTest"
"","9","Проверка JSON из файла","","Wed Nov 20 17:00:15 GMT 2024","passed","Wed Nov 20 17:00:15 GMT 2024","","files.WorkJacksonTests","files.WorkJacksonTests","createJacksonFromFile"
"","6186","LoginTest()","","Wed Nov 20 16:57:11 GMT 2024","passed","Wed Nov 20 16:57:17 GMT 2024","","com.lenta.LoginPageTests","com.lenta.LoginPageTests","LoginTest"
"","0","NegativeTest3()","","Wed Nov 20 17:00:44 GMT 2024","passed","Wed Nov 20 17:00:44 GMT 2024","","simple.PositiveTests","simple.PositiveTests","NegativeTest3"
"","14607","Товар найден через строку поиска Товар сметана найден через строку поиска","","Wed Nov 20 16:58:02 GMT 2024","failed","Wed Nov 20 16:58:17 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmpty"
"","9957","Товар найден через строку поиска и тег существует Товар молоко найден через строку поиска и тег Молоко и сливки существует","","Wed Nov 20 16:59:43 GMT 2024","failed","Wed Nov 20 16:59:53 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistCSVFile"
"","0","NegativeTest2()","","Wed Nov 20 17:00:44 GMT 2024","passed","Wed Nov 20 17:00:44 GMT 2024","","simple.PositiveTests","simple.PositiveTests","NegativeTest2"
"","3574","fillAllField1Test()","","Wed Nov 20 16:56:51 GMT 2024","passed","Wed Nov 20 16:56:54 GMT 2024","","com.demoqa.TextBoxPageTests","com.demoqa.TextBoxPageTests","fillAllField1Test"
