"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","ISSUE в репозитории","5","0","Создание ISSUE","0"
"0","","0","ISSUE в репозитории","1","0","Создание ISSUE с аннотацией steps","0"
"0","","0","ISSUE в репозитории","1","0","Создание ISSUE с listener selenide","0"
"0","","0","ISSUE в репозитории","1","0","Создание ISSUE с лямда шагами","0"
