"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53","В архиве верный xlsx","","Sat Nov 16 17:20:13 GMT 2024","passed","Sat Nov 16 17:20:14 GMT 2024","","files.WorkWithZipTests","files.WorkWithZipTests","readXlsxFromZip"
"","78","Проверка JSON из класса","","Sat Nov 16 17:20:05 GMT 2024","passed","Sat Nov 16 17:20:06 GMT 2024","","files.WorkJacksonTests","files.WorkJacksonTests","createJacksonFromModel"
"","10983","webAnnotatedStepsTest()","","Sat Nov 16 17:15:55 GMT 2024","passed","Sat Nov 16 17:16:06 GMT 2024","","allure.AllureStepsTest","allure.AllureStepsTest","webAnnotatedStepsTest"
"","10","Чтение из JSON","","Sat Nov 16 17:20:06 GMT 2024","passed","Sat Nov 16 17:20:06 GMT 2024","","files.WorkWithJsonTests","files.WorkWithJsonTests","improveReadJSON"
"","7870","Товар для взрослых найден через строку поиска Товар для взрослых BEER найден через строку поиска","","Sat Nov 16 17:18:29 GMT 2024","passed","Sat Nov 16 17:18:37 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmpty"
"","23","Создание ISSUE для авторизованного пользователя","","Sat Nov 16 17:15:55 GMT 2024","passed","Sat Nov 16 17:15:55 GMT 2024","","allure.AllureLabelsTest","allure.AllureLabelsTest","staticLabelsTest"
"","1","В архиве верный CSV","","Sat Nov 16 17:20:14 GMT 2024","passed","Sat Nov 16 17:20:14 GMT 2024","","files.WorkWithZipTests","files.WorkWithZipTests","readCsvFromZip"
"","6","Чтение из ZIP","","Sat Nov 16 17:20:13 GMT 2024","passed","Sat Nov 16 17:20:13 GMT 2024","","files.WorkWithZipTests","files.WorkWithZipTests","readZip"
"","8333","Товар найден через строку поиска и тег существует Товар молоко найден через строку поиска и тег Молоко и сливки существует","","Sat Nov 16 17:19:14 GMT 2024","passed","Sat Nov 16 17:19:22 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExist"
"","10789","submitStudentRegistrationFormFillAllFieldsTest()","","Sat Nov 16 17:16:34 GMT 2024","failed","Sat Nov 16 17:16:44 GMT 2024","","com.demoqa.SubmitPracticeFormPageTest","com.demoqa.SubmitPracticeFormPageTest","submitStudentRegistrationFormFillAllFieldsTest"
"","9998","Товар найден через строку поиска и тег существует Товар молоко найден через строку поиска и тег Молоко и сливки существует","","Sat Nov 16 17:17:24 GMT 2024","failed","Sat Nov 16 17:17:34 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistDelimeter"
"","2","Создание ISSUE для авторизованного пользователя","","Sat Nov 16 17:15:55 GMT 2024","passed","Sat Nov 16 17:15:55 GMT 2024","","allure.AllureLabelsTest","allure.AllureLabelsTest","dynamicLabelsTest"
"","7","В архиве есть pdf, xlsx, json","","Sat Nov 16 17:20:13 GMT 2024","passed","Sat Nov 16 17:20:13 GMT 2024","","files.WorkWithZipTests","files.WorkWithZipTests","readZipAndAssert1"
"","5463","LoginTest()","","Sat Nov 16 17:17:12 GMT 2024","passed","Sat Nov 16 17:17:18 GMT 2024","","com.lenta.LoginPageTests","com.lenta.LoginPageTests","LoginTest"
"","7831","Товар для взрослых найден через строку поиска Товар для взрослых WHISKY найден через строку поиска","","Sat Nov 16 17:18:14 GMT 2024","passed","Sat Nov 16 17:18:22 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmpty"
"","7981","Товар найден через строку поиска и тег существует Товар кефир найден через строку поиска и тег Кисломолочные продукты существует","","Sat Nov 16 17:17:34 GMT 2024","passed","Sat Nov 16 17:17:42 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistDelimeter"
"","11473","Товар для взрослых найден через строку поиска и тег существует Товар для взрослых VODKA найден через строку поиска и теги [Конфеты, Конфеты и подарочные наборы, Водка, настойки, Водка] существует","","Sat Nov 16 17:19:02 GMT 2024","failed","Sat Nov 16 17:19:14 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmptyTagsExist"
"","633","Загрузка файла","","Sat Nov 16 17:20:04 GMT 2024","broken","Sat Nov 16 17:20:04 GMT 2024","","files.DownloadUploadFilesTests","files.DownloadUploadFilesTests","uploadFile"
"","8187","lambdaStepsTest()","","Sat Nov 16 17:16:06 GMT 2024","passed","Sat Nov 16 17:16:14 GMT 2024","","allure.AllureStepsTest","allure.AllureStepsTest","lambdaStepsTest"
"","2262","findSelenidTest()","","Sat Nov 16 17:20:14 GMT 2024","passed","Sat Nov 16 17:20:16 GMT 2024","","github.FindSelenide","github.FindSelenide","findSelenidTest"
"","316","dragDropWithActionsTest()","","Sat Nov 16 17:20:22 GMT 2024","passed","Sat Nov 16 17:20:22 GMT 2024","","herokuapp.DragAndDropTests","herokuapp.DragAndDropTests","dragDropWithActionsTest"
"","9815","submitStudentRegistrationFormFillRequiredFieldsTest()","","Sat Nov 16 17:16:23 GMT 2024","failed","Sat Nov 16 17:16:33 GMT 2024","","com.demoqa.SubmitPracticeFormPageTest","com.demoqa.SubmitPracticeFormPageTest","submitStudentRegistrationFormFillRequiredFieldsTest"
"","5850","hoverSolutionTest()","","Sat Nov 16 17:20:16 GMT 2024","passed","Sat Nov 16 17:20:22 GMT 2024","","github.FindSolutionsTests","github.FindSolutionsTests","hoverSolutionTest"
"","7910","Товар найден через строку поиска и тег существует Товар молоко найден через строку поиска и тег Молоко и сливки существует","","Sat Nov 16 17:19:38 GMT 2024","passed","Sat Nov 16 17:19:46 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistCSVFile"
"","7868","Товар найден через строку поиска Товар кефир найден через строку поиска","","Sat Nov 16 17:17:57 GMT 2024","passed","Sat Nov 16 17:18:05 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmpty"
"","7631","Товар найден через строку поиска и тег существует Товар сметана найден через строку поиска и тег Сметана существует","","Sat Nov 16 17:19:54 GMT 2024","passed","Sat Nov 16 17:20:01 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistCSVFile"
"","2498","submitStudentRegistrationFormFillRequiredFieldsNegativeTest()","","Sat Nov 16 17:16:45 GMT 2024","passed","Sat Nov 16 17:16:48 GMT 2024","","com.demoqa.SubmitPracticeFormPageTest","com.demoqa.SubmitPracticeFormPageTest","submitStudentRegistrationFormFillRequiredFieldsNegativeTest"
"","6","Проверка JSON из файла","","Sat Nov 16 17:20:06 GMT 2024","passed","Sat Nov 16 17:20:06 GMT 2024","","files.WorkJacksonTests","files.WorkJacksonTests","createJacksonFromFile"
"","3765","fillAllField1Test()","","Sat Nov 16 17:16:54 GMT 2024","passed","Sat Nov 16 17:16:58 GMT 2024","","com.demoqa.TextBoxPageTests","com.demoqa.TextBoxPageTests","fillAllField1Test"
"","16","Чтение из CSV","","Sat Nov 16 17:20:06 GMT 2024","passed","Sat Nov 16 17:20:06 GMT 2024","","files.WorkWithCSVTests","files.WorkWithCSVTests","readCsv"
"","8438","Товар найден через строку поиска Товар молоко найден через строку поиска","","Sat Nov 16 17:17:49 GMT 2024","passed","Sat Nov 16 17:17:57 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmpty"
"","13246","Товар для взрослых найден через строку поиска и тег существует Товар для взрослых WHISKY найден через строку поиска и теги [Виски, Напитки, Посуда для сервировки, Конфеты, Конфеты и подарочные наборы, Для тела, до -40% на посуду Platinum Choice, Товары для отдыха и дома] существует","","Sat Nov 16 17:18:37 GMT 2024","failed","Sat Nov 16 17:18:50 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmptyTagsExist"
"","7918","Товар найден через строку поиска и тег существует Товар сметана найден через строку поиска и тег Сметана существует","","Sat Nov 16 17:19:30 GMT 2024","passed","Sat Nov 16 17:19:38 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExist"
"","3453","Чтение из XLS","","Sat Nov 16 17:20:10 GMT 2024","passed","Sat Nov 16 17:20:13 GMT 2024","","files.WorkWithXLSTests","files.WorkWithXLSTests","readXlsx"
"","83","В архиве верный pdf","","Sat Nov 16 17:20:13 GMT 2024","passed","Sat Nov 16 17:20:13 GMT 2024","","files.WorkWithZipTests","files.WorkWithZipTests","readPdfFromZip"
"","4205","Чтение из PDF","","Sat Nov 16 17:20:06 GMT 2024","passed","Sat Nov 16 17:20:10 GMT 2024","","files.WorkWithPdfTests","files.WorkWithPdfTests","readPdf"
