"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7884","lambdaStepsTest()","","Tue Nov 26 05:45:19 GMT 2024","passed","Tue Nov 26 05:45:27 GMT 2024","","allure.AllureStepsTest","allure.AllureStepsTest","lambdaStepsTest"
"","5412","simpleTest()","","Tue Nov 26 05:45:03 GMT 2024","passed","Tue Nov 26 05:45:09 GMT 2024","","SimpleLentaTests","SimpleLentaTests","simpleTest"
"","6280","hoverSolutionTest()","","Tue Nov 26 05:49:46 GMT 2024","passed","Tue Nov 26 05:49:52 GMT 2024","","github.FindSolutionsTests","github.FindSolutionsTests","hoverSolutionTest"
"","109","В архиве верный pdf","","Tue Nov 26 05:49:43 GMT 2024","passed","Tue Nov 26 05:49:43 GMT 2024","","files.WorkWithZipTests","files.WorkWithZipTests","readPdfFromZip"
"","326","dragDropWithActionsTest()","","Tue Nov 26 05:49:53 GMT 2024","passed","Tue Nov 26 05:49:53 GMT 2024","","herokuapp.DragAndDropTests","herokuapp.DragAndDropTests","dragDropWithActionsTest"
"","0","NegativeTest3()","","Tue Nov 26 05:49:58 GMT 2024","skipped","Tue Nov 26 05:49:58 GMT 2024","","simple.SkippedTests","simple.SkippedTests","NegativeTest3"
"","10","Чтение из JSON","","Tue Nov 26 05:49:33 GMT 2024","passed","Tue Nov 26 05:49:33 GMT 2024","","files.WorkWithJsonTests","files.WorkWithJsonTests","readJSON"
"","21","NegativeTest2()","","Tue Nov 26 05:49:58 GMT 2024","failed","Tue Nov 26 05:49:58 GMT 2024","","simple.NegativeTests","simple.NegativeTests","NegativeTest2"
"","8619","Товар найден через строку поиска Товар кефир найден через строку поиска","","Tue Nov 26 05:47:15 GMT 2024","passed","Tue Nov 26 05:47:23 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmpty"
"","7822","Товар для взрослых найден через строку поиска Товар для взрослых BEER найден через строку поиска","","Tue Nov 26 05:47:48 GMT 2024","passed","Tue Nov 26 05:47:56 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmpty"
"","1","В архиве верный CSV","","Tue Nov 26 05:49:43 GMT 2024","passed","Tue Nov 26 05:49:43 GMT 2024","","files.WorkWithZipTests","files.WorkWithZipTests","readCsvFromZip"
"","10058","webAnnotatedStepsTest()","","Tue Nov 26 05:45:09 GMT 2024","passed","Tue Nov 26 05:45:19 GMT 2024","","allure.AllureStepsTest","allure.AllureStepsTest","webAnnotatedStepsTest"
"","5200","LoginTest()","","Tue Nov 26 05:46:32 GMT 2024","passed","Tue Nov 26 05:46:37 GMT 2024","","com.lenta.LoginTests","com.lenta.LoginTests","LoginTest"
"","2851","findSelenidTest()","","Tue Nov 26 05:49:43 GMT 2024","passed","Tue Nov 26 05:49:46 GMT 2024","","github.FindSelenide","github.FindSelenide","findSelenidTest"
"","38","Чтение из CSV","","Tue Nov 26 05:49:33 GMT 2024","passed","Tue Nov 26 05:49:33 GMT 2024","","files.WorkWithCSVTests","files.WorkWithCSVTests","readCsv"
"","6238","submitStudentRegistrationFormTest()","","Tue Nov 26 05:46:03 GMT 2024","passed","Tue Nov 26 05:46:09 GMT 2024","","com.demoqa.SubmitPracticeFormTest","com.demoqa.SubmitPracticeFormTest","submitStudentRegistrationFormTest"
"","2","Создание ISSUE для авторизованного пользователя","","Tue Nov 26 05:45:09 GMT 2024","passed","Tue Nov 26 05:45:09 GMT 2024","","allure.AllureLabelsTest","allure.AllureLabelsTest","dynamicLabelsTest"
"","8","В архиве есть pdf, xlsx, json","","Tue Nov 26 05:49:43 GMT 2024","passed","Tue Nov 26 05:49:43 GMT 2024","","files.WorkWithZipTests","files.WorkWithZipTests","readZipAndAssert1"
"","8480","Товар для взрослых найден через строку поиска Товар для взрослых WHISKY найден через строку поиска","","Tue Nov 26 05:47:32 GMT 2024","passed","Tue Nov 26 05:47:40 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmpty"
"","21","Проверка JSON из файла","","Tue Nov 26 05:49:33 GMT 2024","passed","Tue Nov 26 05:49:33 GMT 2024","","files.WorkJacksonTests","files.WorkJacksonTests","createJacksonFromFile"
"","404","dragDropWithElementsTest()","","Tue Nov 26 05:49:52 GMT 2024","passed","Tue Nov 26 05:49:53 GMT 2024","","herokuapp.DragAndDropTests","herokuapp.DragAndDropTests","dragDropWithElementsTest"
"","3922","Чтение из XLS","","Tue Nov 26 05:49:39 GMT 2024","passed","Tue Nov 26 05:49:43 GMT 2024","","files.WorkWithXLSTests","files.WorkWithXLSTests","readXlsx"
"","5862","LoginTest()","","Tue Nov 26 05:46:26 GMT 2024","passed","Tue Nov 26 05:46:32 GMT 2024","","com.lenta.LoginPageTests","com.lenta.LoginPageTests","LoginTest"
"","8362","Товар найден через строку поиска и тег существует Товар сметана найден через строку поиска и тег Сметана существует","","Tue Nov 26 05:48:55 GMT 2024","passed","Tue Nov 26 05:49:03 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExist"
"","10035","Товар найден через строку поиска и тег существует Товар молоко найден через строку поиска и тег Молоко и сливки существует","","Tue Nov 26 05:48:36 GMT 2024","failed","Tue Nov 26 05:48:46 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExist"
"","12","NegativeTest1()","","Tue Nov 26 05:49:58 GMT 2024","failed","Tue Nov 26 05:49:58 GMT 2024","","simple.NegativeTests","simple.NegativeTests","NegativeTest1"
"","2836","Скачивание и проверка файла при наличии в кнопке href","","Tue Nov 26 05:49:28 GMT 2024","passed","Tue Nov 26 05:49:31 GMT 2024","","files.DownloadUploadFilesTests","files.DownloadUploadFilesTests","downloadAndCompareFileWithHref"
"","7987","Товар найден через строку поиска и тег существует Товар сметана найден через строку поиска и тег Сметана существует","","Tue Nov 26 05:46:56 GMT 2024","passed","Tue Nov 26 05:47:04 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistDelimeter"
"","5","ChromeSystemPropertyTest()","","Tue Nov 26 05:49:58 GMT 2024","passed","Tue Nov 26 05:49:58 GMT 2024","","jenkins.SytestemPropertyTests","jenkins.SytestemPropertyTests","ChromeSystemPropertyTest"
"","1","DefSystemPropertyTest()","","Tue Nov 26 05:49:58 GMT 2024","passed","Tue Nov 26 05:49:58 GMT 2024","","jenkins.SytestemPropertyTests","jenkins.SytestemPropertyTests","DefSystemPropertyTest"
"","7574","Товар найден через строку поиска и тег существует Товар кефир найден через строку поиска и тег Кисломолочные продукты существует","","Tue Nov 26 05:49:12 GMT 2024","passed","Tue Nov 26 05:49:19 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistCSVFile"
"","9947","Товар найден через строку поиска и тег существует Товар молоко найден через строку поиска и тег Молоко и сливки существует","","Tue Nov 26 05:46:37 GMT 2024","failed","Tue Nov 26 05:46:47 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistDelimeter"
"","67","Создание из класса JSON строки","","Tue Nov 26 05:49:33 GMT 2024","passed","Tue Nov 26 05:49:33 GMT 2024","","files.WorkJacksonTests","files.WorkJacksonTests","createJasonAsString"
"","8396","Товар для взрослых найден через строку поиска Товар для взрослых VODKA найден через строку поиска","","Tue Nov 26 05:47:40 GMT 2024","passed","Tue Nov 26 05:47:48 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","adultSearchResultShouldNotBeEmpty"
"","74","В архиве верный xlsx","","Tue Nov 26 05:49:43 GMT 2024","passed","Tue Nov 26 05:49:43 GMT 2024","","files.WorkWithZipTests","files.WorkWithZipTests","readXlsxFromZip"
"","8604","Товар найден через строку поиска и тег существует Товар сметана найден через строку поиска и тег Сметана существует","","Tue Nov 26 05:49:19 GMT 2024","passed","Tue Nov 26 05:49:28 GMT 2024","","com.lenta.ProductSearchTests","com.lenta.ProductSearchTests","searchResultShouldNotBeEmptyTagExistCSVFile"
